what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1338755050665
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1338755050681
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1338755050697
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1338755050697
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1338755050712
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1338755050728
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1338755050728
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1338755050743
os,sysinfo,,,"win32",1338755050743
arch,sysinfo,,,"x86",1338755050743
ws,sysinfo,,,"win32",1338755050743
locale,sysinfo,,,"en_GB",1338755050743
processors,sysinfo,,,"1",1338755050743
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338755050743
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1338755050743
java.specification.name,sysinfo,,,"Java Platform API Specification",1338755050743
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338755050743
java.specification.version,sysinfo,,,"1.6",1338755050743
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1338755050743
java.version,sysinfo,,,"1.6.0_21",1338755050743
java.vm.info,sysinfo,,,"mixed mode, sharing",1338755050743
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1338755050743
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338755050743
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338755050743
java.vm.specification.version,sysinfo,,,"1.0",1338755050743
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1338755050743
java.vm.version,sysinfo,,,"17.0-b17",1338755050743
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1338755050962
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1338755051009
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1338755051040
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1338755051072
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1338755051134
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338755063728
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338755063743
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1338755063775
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338755069462
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.restartWorkbench",1338755070493
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1338755070697
